1	1	7	7	7	7	7	7	7	7	2.54950975679639	2.54950975679639	1
1	1	5	3	5.5	3.5	6	4	4.75	4.25	2.34520787991171	2.34520787991171	1
1	1	2	2	2.5	1.5	4.5	3.5	1.75	2.5	.707106781186548	.707106781186548	0
1	1	4	2	3.5	1.5	4	2.5	4.25	2.75	.707106781186548	.707106781186548	0
1	1	2	2	3	1.5	4.5	3	5.25	3.5	1.22474487139159	.707106781186548	0
1	1	2	4	6	3	5.5	4.5	3.75	2.75	1.87082869338697	2.12132034355964	1
1	1	2	4	3.5	4	5.5	4.5	5.5	4	2.12132034355964	2.12132034355964	1
1	1	2	4	4	4	5	4	3.5	4	1.58113883008419	1.58113883008419	0
1	1	3	2	4.5	3	6	4.5	3.5	2.5	.707106781186548	.707106781186548	0
1	1	2	2	5	5	5.5	4	4	4.5	1.58113883008419	1.58113883008419	0
1	1	1	2	4.5	2	6.5	5.5	4.5	2.25	1.58113883008419	1.22474487139159	0
1	1	6	4	5.5	3.5	5.5	6	5	6.25	1.58113883008419	2.34520787991171	1
1	1	3	3	2.5	2.5	4	4	3.25	3.75	1.58113883008419	2.54950975679639	1
1	1	1	2	1	1.5	6	4.5	6.5	5	1.58113883008419	.707106781186548	0
1	1	5	4	5	4.5	6	5	4	3	2.73861278752583	1.87082869338697	1
1	1	6	1	4.5	4	7	6.5	5	4.5	2.12132034355964	2.12132034355964	1
1	1	7	2	4.5	4.5	5	5.5	6	2.75	1.58113883008419	1.58113883008419	0
1	1	2	2	3.5	3.5	3.5	2	3.5	2.5	.707106781186548	1.22474487139159	0
1	1	2	2	3.5	2	6.5	6	4.75	5.5	.707106781186548	.707106781186548	0
1	1	1	2	1.5	1.5	3.5	2.5	2.75	3	1.22474487139159	1.58113883008419	0
1	1	4	2	4.5	1	7	3.5	5	3	2.12132034355964	2.12132034355964	1
1	1	4	2	4	3.5	4.5	3.5	4.25	4	.707106781186548	.707106781186548	0
1	5	4	4	7	6.5	4	5.5	6.5	5.75	2.54950975679639	2.54950975679639	1
1	5	.65	1	3.5	1.5	4	4.5	4	5.5	1.58113883008419	1.58113883008419	0
1	5	5	2	4	2.5	7	3	5	3	1.87082869338697	1.22474487139159	0
1	5	1	2	1	4	1	1	1	2.5	.707106781186548	.707106781186548	0
1	5	4	2	7	4.5	7	1.5	6.75	3.75	1.87082869338697	1.58113883008419	0
1	5	4	2	4.5	1	6.5	2.5	4.25	2.75	1.22474487139159	.707106781186548	0
1	5	1	1	1	1	2.5	2	2.5	6.5	.707106781186548	1.22474487139159	0
1	5	4	4	4	2.5	4	4	7	6.25	1.58113883008419	1.58113883008419	0
1	5	6	1	3.5	1	1.5	1	3.75	1	2.91547594742265	2.54950975679639	1
1	5	7	2	6	5	6	6	2.75	5.5	2.73861278752583	2.54950975679639	1
1	5	4	4	5	5.5	5	5.5	4.75	4.25	1.87082869338697	1.58113883008419	0
1	5	1	1	4	1	4	1	1	1	1.87082869338697	2.34520787991171	1
1	5	4	3	4.5	3.5	4.5	4	5	3.75	1.22474487139159	2.12132034355964	1
1	5	1	2	7	5.5	6	6.5	7	5.5	2.12132034355964	2.12132034355964	1
1	5	4	2	4.5	4.5	4	4.5	4.75	4.75	2.12132034355964	1.87082869338697	1
1	5	3	2	2.5	2.5	5.5	3	3.5	3.25	1.58113883008419	1.22474487139159	0
1	5	1	1	6.5	2.5	7	4.5	4.25	3.5	2.12132034355964	2.12132034355964	1
1	5	1	2	5	6	6.5	7	5.5	6.75	1.87082869338697	2.34520787991171	1
1	5	4	3	5.5	5	5.5	5	4.75	5	2.34520787991171	2.34520787991171	1
1	5	4	1	4	4	4.5	5	4.5	4.25	1.58113883008419	1.22474487139159	0
1	5	1	5	1	4.5	4	3	2.5	4.25	1.87082869338697	1.87082869338697	1
1	9	2	2	4	2.5	5.5	3.5	4.25	2.75	1.58113883008419	.707106781186548	0
1	9	2	2	5	2	6.5	6.5	2.75	3	1.58113883008419	1.87082869338697	1
1	9	7	3	5.5	1.5	4	5.5	5.75	4.25	1.22474487139159	1.87082869338697	1
1	9	2	2	2	2.5	5	4	3.25	3.25	1.22474487139159	1.22474487139159	0
1	9	2	2	4	2	4	4.5	5	3.5	1.22474487139159	1.22474487139159	0
1	9	3	3	5	4	4	4.5	4.75	5	1.87082869338697	1.87082869338697	1
